No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Outer Box No.,Total Outer Box No.,Outer Box No.1,Item Code,NDC,HLR,Barcode
35,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6168 3105,0150 0000 6168 7104,4000,01,15,01,S833,0852,864,S833X015000006168310504000
36,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6168 7105,0150 0000 6169 1104,4000,02,15,02,S833,0852,864,S833X015000006168710504000
37,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6169 1105,0150 0000 6169 5104,4000,03,15,03,S833,0852,864,S833X015000006169110504000
38,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6169 5105,0150 0000 6169 9104,4000,04,15,04,S833,0852,864,S833X015000006169510504000
39,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6169 9105,0150 0000 6170 3104,4000,05,15,05,S833,0852,864,S833X015000006169910504000
40,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6170 3105,0150 0000 6170 7104,4000,06,15,06,S833,0852,864,S833X015000006170310504000
41,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6170 7105,0150 0000 6171 1104,4000,07,15,07,S833,0852,864,S833X015000006170710504000
42,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6171 1105,0150 0000 6171 5104,4000,08,15,08,S833,0852,864,S833X015000006171110504000
43,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6171 5105,0150 0000 6171 9104,4000,09,15,09,S833,0852,864,S833X015000006171510504000
44,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6171 9105,0150 0000 6172 3104,4000,10,15,10,S833,0852,864,S833X015000006171910504000
45,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6172 3105,0150 0000 6172 7104,4000,11,15,11,S833,0852,864,S833X015000006172310504000
46,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6172 7105,0150 0000 6173 1104,4000,12,15,12,S833,0852,864,S833X015000006172710504000
47,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6173 1105,0150 0000 6173 5104,4000,13,15,13,S833,0852,864,S833X015000006173110504000
48,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6173 5105,0150 0000 6173 9104,4000,14,15,14,S833,0852,864,S833X015000006173510504000
49,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-2-0852864pn5,0150 0000 6173 9105,0150 0000 6174 3104,4000,15,15,15,S833,0852,864,S833X015000006173910504000
50,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6174 3105,0150 0000 6174 7104,4000,1,8,1,S833,0823,233,S833X015000006174310504000
51,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6174 7105,0150 0000 6175 1104,4000,2,8,2,S833,0823,233,S833X015000006174710504000
52,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6175 1105,0150 0000 6175 5104,4000,3,8,3,S833,0823,233,S833X015000006175110504000
53,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6175 5105,0150 0000 6175 9104,4000,4,8,4,S833,0823,233,S833X015000006175510504000
54,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6175 9105,0150 0000 6176 3104,4000,5,8,5,S833,0823,233,S833X015000006175910504000
55,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6176 3105,0150 0000 6176 7104,4000,6,8,6,S833,0823,233,S833X015000006176310504000
56,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6176 7105,0150 0000 6177 1104,4000,7,8,7,S833,0823,233,S833X015000006176710504000
57,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823233pn6,0150 0000 6177 1105,0150 0000 6177 4375,3271,8,8,8,S833,0823,233,S833X015000006177110503271
58,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6164 6389,0150 0000 6165 0388,4000,01,10,01,S833,0823,237,S833X015000006164638904000
59,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6165 0389,0150 0000 6165 4388,4000,02,10,02,S833,0823,237,S833X015000006165038904000
60,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6165 4389,0150 0000 6165 8388,4000,03,10,03,S833,0823,237,S833X015000006165438904000
61,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6165 8389,0150 0000 6166 2388,4000,04,10,04,S833,0823,237,S833X015000006165838904000
62,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6166 2389,0150 0000 6166 6388,4000,05,10,05,S833,0823,237,S833X015000006166238904000
63,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6166 6389,0150 0000 6167 0388,4000,06,10,06,S833,0823,237,S833X015000006166638904000
64,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6167 0389,0150 0000 6167 4388,4000,07,10,07,S833,0823,237,S833X015000006167038904000
65,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6167 4389,0150 0000 6167 8388,4000,08,10,08,S833,0823,237,S833X015000006167438904000
66,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6167 8389,0150 0000 6168 2388,4000,09,10,09,S833,0823,237,S833X015000006167838904000
67,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823237pn4,0150 0000 6168 2389,0150 0000 6168 3104,716,10,10,10,S833,0823,237,S833X015000006168238900716
68,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6180 5383,0150 0000 6180 9382,4000,1,9,1,S833,0823,290,S833X015000006180538304000
69,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6180 9383,0150 0000 6181 3382,4000,2,9,2,S833,0823,290,S833X015000006180938304000
70,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6181 3383,0150 0000 6181 7382,4000,3,9,3,S833,0823,290,S833X015000006181338304000
71,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6181 7383,0150 0000 6182 1382,4000,4,9,4,S833,0823,290,S833X015000006181738304000
72,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6182 1383,0150 0000 6182 5382,4000,5,9,5,S833,0823,290,S833X015000006182138304000
73,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6182 5383,0150 0000 6182 9382,4000,6,9,6,S833,0823,290,S833X015000006182538304000
74,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-3-0823290pn8,0150 0000 6182 9383,0150 0000 6183 3382,4000,7,9,7,S833,0823,290,S833X015000006182938304000
