No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Inner Box No.,Total Inner Box No.,Outer Box No.,Item Code,NDC,HLR,Barcode
035,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 1184,0150 0000 6162 1683,500,35,48,5,S833,0823,717,S833X015000006162118400500
036,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 1684,0150 0000 6162 2183,500,36,48,5,S833,0823,717,S833X015000006162168400500
037,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 2184,0150 0000 6162 2683,500,37,48,5,S833,0823,717,S833X015000006162218400500
038,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 2684,0150 0000 6162 3183,500,38,48,5,S833,0823,717,S833X015000006162268400500
039,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 3184,0150 0000 6162 3683,500,39,48,5,S833,0823,717,S833X015000006162318400500
040,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 3684,0150 0000 6162 4183,500,40,48,5,S833,0823,717,S833X015000006162368400500
041,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 4184,0150 0000 6162 4683,500,41,48,6,S833,0823,717,S833X015000006162418400500
042,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 4684,0150 0000 6162 5183,500,42,48,6,S833,0823,717,S833X015000006162468400500
043,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 5184,0150 0000 6162 5683,500,43,48,6,S833,0823,717,S833X015000006162518400500
044,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823717pn3,0150 0000 6162 5684,0150 0000 6162 6183,500,44,48,6,S833,0823,717,S833X015000006162568400500
