No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Outer Box No.,Total Outer Box No.,Outer Box No.1,Item Code,NDC,HLR,Barcode
49,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6136 6912,0150 0000 6137 0911,4000,01,24,01,S833,0852,862,S833X015000006136691204000
50,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6137 0912,0150 0000 6137 4911,4000,02,24,02,S833,0852,862,S833X015000006137091204000
51,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6137 4912,0150 0000 6137 8911,4000,03,24,03,S833,0852,862,S833X015000006137491204000
52,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6137 8912,0150 0000 6138 2911,4000,04,24,04,S833,0852,862,S833X015000006137891204000
53,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6138 2912,0150 0000 6138 6911,4000,05,24,05,S833,0852,862,S833X015000006138291204000
54,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6138 6912,0150 0000 6139 0911,4000,06,24,06,S833,0852,862,S833X015000006138691204000
55,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6139 0912,0150 0000 6139 4911,4000,07,24,07,S833,0852,862,S833X015000006139091204000
56,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6139 4912,0150 0000 6139 8911,4000,08,24,08,S833,0852,862,S833X015000006139491204000
57,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6139 8912,0150 0000 6140 2911,4000,09,24,09,S833,0852,862,S833X015000006139891204000
58,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6140 2912,0150 0000 6140 6911,4000,10,24,10,S833,0852,862,S833X015000006140291204000
59,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6140 6912,0150 0000 6141 0911,4000,11,24,11,S833,0852,862,S833X015000006140691204000
60,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6141 0912,0150 0000 6141 4911,4000,12,24,12,S833,0852,862,S833X015000006141091204000
61,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6141 4912,0150 0000 6141 8911,4000,13,24,13,S833,0852,862,S833X015000006141491204000
62,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6141 8912,0150 0000 6142 2911,4000,14,24,14,S833,0852,862,S833X015000006141891204000
63,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0001-1-0852862pn2,0150 0000 6142 2912,0150 0000 6142 6911,4000,15,24,15,S833,0852,862,S833X015000006142291204000
